date,n_stocks,daily_pearson_ic,daily_spearman_ic,split
2018-09-24,963,0.1248885292565144,0.17369808154397545,train
2018-09-25,960,-0.03397775399281078,-0.06401391798687388,train
2018-09-26,957,0.10325526599824376,0.10999917502778524,train
2018-09-27,960,-0.02949925100498342,-0.05837208362670325,train
2018-09-28,964,0.22566703249847614,0.2850270367679239,train
2018-10-01,968,-0.06557772263243562,-0.09991425256041275,train
2018-10-02,967,0.2708571661502009,0.3170734908531888,train
2018-10-03,966,0.11108219866456209,0.1347368135890963,train
2018-10-04,968,-0.01040196653802061,0.01595581940858508,train
2018-10-05,971,-0.1887712704771248,-0.23919126549474257,train
2018-10-08,973,-0.06964461232228962,-0.15235266145483217,train
2018-10-09,973,-0.07599807394512968,-0.1362747163770945,train
2018-10-10,972,-0.051169936504302,-0.1025749788490237,train
2018-10-11,969,0.6147068213215285,0.642905562098796,train
2018-10-12,968,0.1074856965546397,0.1033333055396001,train
2018-10-15,962,0.37081206351862195,0.427764889674683,train
2018-10-16,950,0.17958681796381115,0.18698912249889776,train
2018-10-17,923,-0.10915291998182206,-0.18604524107845502,train
2018-10-18,911,0.08915945141880459,0.12959198415644868,train
2018-10-19,918,0.12476396260945244,0.12181096567133153,train
2018-10-22,912,-0.31531951765721966,-0.31970553189010464,train
2018-10-23,882,8.70866578346111e-06,-0.07763528327952642,train
2018-10-24,795,0.2531839525257124,0.2926766302684295,train
2018-10-25,769,-0.25872738283771746,-0.22369292501350804,train
2018-10-26,814,0.4710226587156649,0.5099289223361017,train
2018-10-29,851,0.07725157170935228,0.16310380709228062,train
2018-10-30,858,0.4259684042398444,0.5098412393831788,train
2018-10-31,803,0.0203480994711065,-0.03964496261122828,train
2018-11-01,805,0.08643725595634874,0.14558741490528634,train
2018-11-02,847,0.062230272900268474,0.12699744434286506,train
2018-11-05,866,0.13413303378920924,0.13922203905491953,train
2018-11-06,886,0.2228613614897554,0.25384981527639633,train
2018-11-07,849,0.09102340772430484,0.10984270971703097,train
2018-11-08,882,-0.20664258051974607,-0.18540973274053973,train
2018-11-09,920,0.07033359884161677,0.06423018312742058,train
2018-11-12,956,0.20651901655709753,0.23303310893490264,train
2018-11-13,966,0.310328375279214,0.3560750588412698,train
2018-11-14,962,0.046347231012984554,0.04751994619356806,train
2018-11-15,963,-0.2360525971522227,-0.24985862383945476,train
2018-11-16,966,-0.11785552466192807,-0.10944833192718328,train
2018-11-19,951,-0.14171977682693832,-0.16233560937853542,train
2018-11-20,950,0.6764985706370411,0.6401885832191804,train
2018-11-21,948,-0.2632781835443194,-0.3145976647968272,train
2018-11-23,965,0.4840539468974338,0.47018777825901664,train
2018-11-26,964,0.039463224300591515,0.07024168010182931,train
2018-11-27,960,0.4135560929255302,0.3816477094770098,train
2018-11-28,955,0.06081354132479989,0.05832890221874889,train
2018-11-29,950,0.058610974168903845,0.0755479732094179,train
2018-11-30,949,0.07854897697936535,0.0891872700451208,train
2018-12-03,952,0.09681068189605352,0.040596106088318686,train
2018-12-04,947,-0.08923968770266943,-0.13241815780844776,train
2018-12-06,937,0.0799931505603118,0.048561937738525504,train
2018-12-07,943,-0.020409144111884464,-0.0374756898553102,train
2018-12-10,952,0.5131330547098369,0.5214808650400538,train
2018-12-11,958,0.32169284733654424,0.38791466912624695,train
2018-12-12,955,0.295900134576699,0.3255481438925097,train
2018-12-13,956,-0.033220814800264044,-0.014940594026941208,train
2018-12-14,956,-0.13924447192759315,-0.2001602833865432,train
2018-12-17,956,-0.005945692551180575,0.01586464750258841,train
2018-12-18,951,0.10820202265293283,0.13968316980916307,train
2018-12-19,947,0.02725687392532191,0.023313100399700297,train
2018-12-20,947,0.029073185338768747,0.046999179150307345,train
2018-12-21,955,-0.008382486969504709,0.03492250315772189,train
2018-12-24,971,0.43035545639989203,0.42838010873548577,train
2018-12-26,974,0.3863800482569732,0.4007752350170587,train
2018-12-27,976,0.17351036040744386,0.15775084423624047,train
2018-12-28,976,0.11791904533147107,0.040182296223683724,train
2018-12-31,975,0.4284075454684106,0.34082898470046813,train
2019-01-02,937,-0.35642553692058243,-0.37222301055863677,validation
