date,n_long,n_short,gross_exposure,ret_gross,ret_net,cost_commission,cost_slippage,cost_borrow,turnover,max_pos,mean_pos
2020-09-22,19,19,0.9999999999999998,0.001666134006727172,0.0012522019452949498,9.999999999999999e-05,0.00029999999999999987,1.3932061432222216e-05,0.9999999999999998,21160798.11222416,6578947.368421053
2020-09-23,19,19,1.0,-0.0026861052579027975,-0.0030998649047852926,0.0001,0.0003,1.3759646882495239e-05,1.0,19459248.037325,6578947.368421052
2020-09-24,19,19,0.784763273966,0.0018751328339067972,0.001552600673787691,7.84763273966e-05,0.0002354289821898,8.626850532706351e-06,0.784763273966,30646651.685000002,5162916.276092106
2020-09-25,19,19,1.0,0.006819971852595083,0.006409320197974023,0.0001,0.0003,1.0651654621060316e-05,1.0,19392406.621346835,6578947.368421053
2020-09-28,19,19,0.9999999999999999,0.0024439896991115162,0.0020083814729717647,0.0001,0.0002999999999999999,3.5608226139751424e-05,0.9999999999999999,14911195.86423,6578947.3684210535
2020-09-29,19,19,0.7703424243064001,-0.004203544012540171,-0.004549568029769765,7.703424243064001e-05,0.00023110272729191998,3.788704750703333e-05,0.7703424243064001,33728396.080000006,5068042.265173683
2020-09-30,19,19,1.0000000000000002,-0.0011729251446959711,-0.0016040116591124346,0.00010000000000000002,0.0003,3.1086514416463494e-05,1.0000000000000002,55984134.42254676,6578947.368421054
2020-10-01,19,19,0.9999999999999999,0.0045937143325397185,0.0041522798192404585,0.0001,0.0002999999999999999,4.143451329926032e-05,0.9999999999999999,41238130.16617499,6578947.3684210535
2020-10-02,19,19,0.3955238566510662,0.00042339560215919113,0.0002609929160062557,3.9552385665106625e-05,0.00011865715699531985,4.193143492508969e-06,0.3955238566510662,12788189.877500001,2602130.635862277
2020-10-05,19,19,0.6246636467134001,-0.0009675897775039792,-0.001233488607775693,6.246636467134002e-05,0.00018739909401402002,1.603337158635397e-05,0.6246636467134001,31332086.897500005,4109629.254693421
2020-10-06,19,19,0.7414825943303001,0.0009044507704165369,0.000596817045582189,7.414825943303003e-05,0.00022244477829909003,1.1040687102227778e-05,0.7414825943303001,18144110.62,4878174.962699342
2020-10-07,19,19,0.49528194895759997,0.00028164447276511276,7.891487775593309e-05,4.952819489576e-05,0.00014858458468727998,4.616815426139683e-06,0.49528194895759997,11729449.58,3258433.874721053
2020-10-08,19,19,0.7628573236309979,-5.2271031973666514e-05,-0.00036987163003983543,7.62857323630998e-05,0.00022885719708929934,1.2457668613769762e-05,0.7628573236309979,53989972.7875,5018798.181782882
2020-10-09,19,19,0.9999999999999999,0.007959215243176698,0.00755127873524019,0.0001,0.0002999999999999999,7.936507936507936e-06,0.9999999999999999,11923621.178916667,6578947.368421052
2020-10-12,19,19,1.0,0.007386845393756007,0.006962582631920106,0.0001,0.0003,2.4262761835901583e-05,1.0,13041288.855549997,6578947.368421052
2020-10-13,19,19,0.29056141844293,0.0006044223705271802,0.0004854840555893691,2.9056141844293002e-05,8.716842553287898e-05,2.713747560639127e-06,0.29056141844293,7228091.831641251,1911588.279229803
2020-10-14,19,19,0.6003979212175999,-0.0024063084447640123,-0.002654175983634049,6.003979212176e-05,0.00018011937636528,7.708370382996825e-06,0.6003979212175999,39863417.780300006,3949986.3238
2020-10-15,19,19,0.46000588240636603,0.0018994303976617233,0.0017106089758970123,4.600058824063661e-05,0.0001380017647219098,4.819068802164809e-06,0.46000588240636603,6532585.97436475,3026354.4895155663
2020-10-16,19,19,0.360317557495,0.0006580958840362937,0.0005104422432803206,3.60317557495e-05,0.0001080952672485,3.526617757973016e-06,0.360317557495,17391524.285,2370510.2466776324
2020-10-19,18,18,0.43111561537813403,-0.0004225887394120472,-0.0005992004586193177,4.31115615378134e-05,0.00012933468461344018,4.165473056016936e-06,0.43111561537813403,15819396.998985,2993858.4401259306
2020-10-20,18,18,0.5585743272796821,0.0005052558639898787,0.00027674225644104647,5.5857432727968215e-05,0.00016757229818390465,5.083876636959381e-06,0.5585743272796821,20124552.805325,3878988.383886681
2020-10-21,17,17,0.5124387151866081,-4.928611668763508e-06,-0.00021411484250076076,5.124387151866081e-05,0.0001537316145559824,4.2107447573540325e-06,0.5124387151866081,10936190.682500001,3767931.729313295
2020-10-22,17,17,0.8770840092286,-0.0011656111743784962,-0.001524939765945206,8.770840092286001e-05,0.00026312520276858,8.494987875269841e-06,0.8770840092286,75727673.77665,6449147.126680883
2020-10-23,17,17,0.5073648122128002,0.0008434299195542673,0.0006331834054467551,5.073648122128002e-05,0.00015220944366384003,7.300589222392064e-06,0.5073648122128002,19935693.328475002,3730623.6192117655
2020-10-26,18,18,0.5439682843228001,0.0006790529364297774,0.0004517477778674606,5.439682843228001e-05,0.00016319048529684,9.717844833196824e-06,0.5439682843228001,11808776.855,3777557.530019445
2020-10-27,17,17,0.6044893769762001,-0.0014374091702016969,-0.0016841498045110357,6.044893769762001e-05,0.00018134681309286,4.94488351885873e-06,0.6044893769762001,12342646.68,4444774.830707354
2020-10-28,15,15,0.6057728820878,0.002860415985508757,0.0026083970011932574,6.057728820878e-05,0.00018173186462633998,9.709831480379367e-06,0.6057728820878,32092333.785000004,5048107.350731667
2020-10-29,14,14,0.9999999999999996,-0.0014540715967405718,-0.0018620081046770796,9.999999999999995e-05,0.0002999999999999998,7.936507936507934e-06,0.9999999999999996,46891470.35694999,8928571.428571427
