date,n_long,n_short,gross_exposure,ret_gross,ret_net,cost_commission,cost_slippage,cost_borrow,turnover,max_pos,mean_pos
2022-05-05,15,15,0.9999999999999998,-0.009053772038649429,-0.00946289832623308,9.999999999999999e-05,0.00029999999999999987,9.126287583650794e-06,0.9999999999999998,38748518.823970504,8333333.333333333
2022-05-06,16,16,0.9999999999999999,-0.01018062058059204,-0.010591804615498784,0.0001,0.0002999999999999999,1.1184034906742854e-05,0.9999999999999999,41252807.28181523,7812499.999999999
2022-05-09,18,18,1.0,0.013704468829825614,0.013293033167275202,0.0001,0.0003,1.1435662550412698e-05,1.0,12190000.812921649,6944444.444444443
2022-05-10,18,18,0.9999999999999999,0.00023525450973907312,-0.00017613863112167602,0.0001,0.0002999999999999999,1.1393140860749205e-05,0.9999999999999999,20215405.089257993,6944444.444444444
2022-05-11,19,19,0.9999999999999999,-0.01442628844920656,-0.014836171969631487,0.0001,0.0002999999999999999,9.883520424928316e-06,0.9999999999999999,9604086.242723497,6578947.368421052
2022-05-12,19,19,0.9999999999999998,0.013783255483644254,0.013373997431006795,9.999999999999999e-05,0.00029999999999999987,9.258052637460314e-06,0.9999999999999998,9418765.45650357,6578947.368421053
2022-05-13,20,20,1.0,-0.0028460857659008774,-0.003257024250222186,0.0001,0.0003,1.0938484321308779e-05,1.0,18607216.563325442,6250000.0
2022-05-16,20,20,0.9999999999999998,0.007867195669976214,0.007447669909563484,9.999999999999999e-05,0.00029999999999999987,1.952576041273015e-05,0.9999999999999998,32890025.554674983,6249999.999999998
2022-05-17,20,20,1.0,0.005878535196166165,0.005443039837174094,0.0001,0.0003,3.549535899207063e-05,1.0,18318797.9015875,6250000.0
2022-05-18,19,19,1.0,0.003746776279773707,0.0033351255302036743,0.0001,0.0003,1.1650749570032681e-05,1.0,10938895.84699425,6578947.368421054
2022-05-19,19,19,1.0,-0.005638395780634037,-0.006070792686180572,0.0001,0.0003,3.2396905546535936e-05,1.0,15034000.269651785,6578947.368421052
